"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2010,2010-06-15,"durham",27,7,33465,3,20,11
2010,2010-06-17,"orange",2,1,33465,8,1,11
2010,2010-06-20,"chatham",42,2,33465,2,40,11
2010,2010-06-20,"chatham",46,6,33465,19,40,11
2010,2010-06-20,"chatham",49,9,33465,1,40,11
2010,2010-06-20,"chatham",50,10,33465,3,40,11
2010,2010-07-18,"orange",5,4,33465,3,1,11
2011,2011-05-15,"chatham",42,2,33465,5,40,12
2011,2011-05-15,"durham",25,5,33465,0,NA,12
2011,2011-05-15,"orange",8,7,33465,0,NA,12
2011,2011-05-22,"durham",24,4,33465,3,20,12
2011,2011-05-22,"orange",2,1,33465,9,1,12
2011,2011-05-28,"chatham",44,4,33465,4,40,12
2011,2011-05-28,"durham",21,1,33465,3,20,12
2011,2011-05-29,"chatham",48,8,33465,1,40,12
2011,2011-05-29,"durham",26,6,33465,0,NA,12
2011,2011-05-29,"orange",13,12,33465,5,1,12
2011,2011-05-30,"orange",3,2,33465,1,1,12
2011,2011-05-30,"orange",7,6,33465,0,NA,12
2011,2011-06-04,"chatham",45,5,33465,5,40,12
2011,2011-06-05,"chatham",41,1,33465,1,40,12
2011,2011-06-05,"durham",22,2,33465,0,NA,12
2011,2011-06-05,"orange",9,8,33465,0,NA,12
2011,2011-06-09,"durham",23,3,33465,0,NA,12
2011,2011-06-12,"chatham",51,11,33465,1,40,12
2011,2011-06-12,"chatham",53,13,33465,11,40,12
2011,2011-06-12,"orange",4,3,33465,0,NA,12
2011,2011-06-12,"orange",10,9,33465,0,NA,12
2011,2011-06-16,"durham",27,7,33465,3,20,12
2011,2011-06-18,"chatham",43,3,33465,7,40,12
2011,2011-06-19,"chatham",47,7,33465,5,40,12
2011,2011-06-19,"chatham",50,10,33465,3,40,12
2011,2011-06-19,"durham",28,8,33465,4,20,12
2011,2011-06-19,"orange",5,4,33465,1,1,12
2011,2011-06-25,"orange",6,5,33465,11,1,12
2011,2011-07-02,"chatham",49,9,33465,0,NA,12
2012,2012-05-13,"orange",9,8,33465,0,NA,13
2012,2012-05-17,"orange",8,7,33465,1,1,13
2012,2012-05-20,"chatham",42,2,33465,2,40,13
2012,2012-05-20,"durham",26,6,33465,0,NA,13
2012,2012-05-27,"chatham",45,5,33465,17,40,13
2012,2012-05-27,"durham",21,1,33465,2,20,13
2012,2012-05-27,"durham",25,5,33465,0,NA,13
2012,2012-05-28,"chatham",44,4,33465,4,40,13
2012,2012-05-28,"orange",3,2,33465,0,NA,13
2012,2012-06-02,"orange",6,5,33465,16,1,13
2012,2012-06-03,"chatham",41,1,33465,2,40,13
2012,2012-06-03,"chatham",43,3,33465,8,40,13
2012,2012-06-03,"orange",7,6,33465,3,1,13
2012,2012-06-09,"chatham",47,7,33465,4,40,13
2012,2012-06-10,"durham",24,4,33465,2,20,13
2012,2012-06-10,"durham",28,8,33465,7,20,13
2012,2012-06-10,"orange",2,1,33465,4,1,13
2012,2012-06-10,"orange",10,9,33465,0,NA,13
2012,2012-06-12,"durham",27,7,33465,3,20,13
2012,2012-06-16,"chatham",51,11,33465,0,NA,13
2012,2012-06-17,"chatham",48,8,33465,0,NA,13
2012,2012-06-17,"chatham",49,9,33465,1,40,13
2012,2012-06-17,"chatham",50,10,33465,4,40,13
2012,2012-06-17,"durham",23,3,33465,0,NA,13
2012,2012-06-17,"orange",11,10,33465,1,1,13
2012,2012-06-17,"orange",12,11,33465,7,1,13
2012,2012-06-17,"orange",13,12,33465,0,NA,13
2012,2012-06-23,"durham",22,2,33465,1,20,13
2012,2012-06-24,"chatham",53,13,33465,9,40,13
2013,2013-05-19,"orange",9,8,33465,0,NA,14
2013,2013-05-26,"chatham",41,1,33465,0,NA,14
2013,2013-05-26,"chatham",44,4,33465,2,40,14
2013,2013-05-26,"chatham",45,5,33465,16,40,14
2013,2013-05-26,"orange",3,2,33465,2,1,14
2013,2013-05-26,"orange",11,10,33465,3,1,14
2013,2013-06-02,"chatham",53,13,33465,9,40,14
2013,2013-06-02,"durham",26,6,33465,0,NA,14
2013,2013-06-02,"orange",6,5,33465,14,1,14
2013,2013-06-02,"orange",7,6,33465,0,NA,14
2013,2013-06-02,"orange",13,12,33465,0,NA,14
2013,2013-06-09,"chatham",43,3,33465,9,40,14
2013,2013-06-09,"chatham",47,7,33465,2,40,14
2013,2013-06-09,"durham",24,4,33465,1,20,14
2013,2013-06-09,"durham",25,5,33465,0,NA,14
2013,2013-06-09,"orange",5,4,33465,0,NA,14
2013,2013-06-13,"orange",2,1,33465,1,1,14
2013,2013-06-14,"durham",22,2,33465,0,NA,14
2013,2013-06-16,"chatham",49,9,33465,0,NA,14
2013,2013-06-16,"durham",21,1,33465,1,20,14
2013,2013-06-16,"durham",23,3,33465,0,NA,14
2013,2013-06-16,"durham",28,8,33465,3,20,14
2013,2013-06-16,"orange",10,9,33465,1,1,14
2013,2013-06-19,"chatham",42,2,33465,3,40,14
2013,2013-06-19,"chatham",51,11,33465,0,NA,14
2013,2013-06-20,"durham",27,7,33465,3,20,14
2013,2013-06-23,"chatham",50,10,33465,1,40,14
2013,2013-06-30,"chatham",48,8,33465,2,40,14
2014,2014-05-15,"durham",24,4,33465,2,20,15
2014,2014-05-18,"orange",9,8,33465,1,1,15
2014,2014-05-25,"chatham",44,4,33465,1,40,15
2014,2014-05-25,"chatham",48,8,33465,1,40,15
2014,2014-05-25,"orange",3,2,33465,0,NA,15
2014,2014-05-25,"orange",10,9,33465,0,NA,15
2014,2014-05-26,"chatham",41,1,33465,0,NA,15
2014,2014-05-27,"orange",8,7,33465,2,1,15
2014,2014-06-01,"chatham",54,14,33465,2,40,15
2014,2014-06-01,"durham",21,1,33465,0,NA,15
2014,2014-06-01,"durham",26,6,33465,0,NA,15
2014,2014-06-01,"durham",28,8,33465,5,20,15
