"year","county","route","route_num","count"
2022,"durham","drhm-06",6,4
2023,"durham","drhm-06",6,77
2024,"durham","drhm-06",6,27
2025,"durham","drhm-06",6,0
2002,"durham","drhm-07",7,0
2003,"durham","drhm-07",7,0
2004,"durham","drhm-07",7,0
2005,"durham","drhm-07",7,2
2006,"durham","drhm-07",7,0
2007,"durham","drhm-07",7,0
2008,"durham","drhm-07",7,0
2009,"durham","drhm-07",7,0
2010,"durham","drhm-07",7,0
2011,"durham","drhm-07",7,2
2012,"durham","drhm-07",7,0
2013,"durham","drhm-07",7,0
2015,"durham","drhm-07",7,0
2016,"durham","drhm-07",7,0
2017,"durham","drhm-07",7,0
2018,"durham","drhm-07",7,0
2019,"durham","drhm-07",7,0
2020,"durham","drhm-07",7,0
2021,"durham","drhm-07",7,0
2022,"durham","drhm-07",7,0
2023,"durham","drhm-07",7,0
2024,"durham","drhm-07",7,0
2025,"durham","drhm-07",7,0
2002,"durham","drhm-08",8,0
2003,"durham","drhm-08",8,14
2004,"durham","drhm-08",8,0
2005,"durham","drhm-08",8,0
2006,"durham","drhm-08",8,0
2007,"durham","drhm-08",8,9
2008,"durham","drhm-08",8,0
2011,"durham","drhm-08",8,0
2012,"durham","drhm-08",8,26
2013,"durham","drhm-08",8,0
2014,"durham","drhm-08",8,41
2015,"durham","drhm-08",8,6
2016,"durham","drhm-08",8,43
2017,"durham","drhm-08",8,38
2018,"durham","drhm-08",8,0
2019,"durham","drhm-08",8,16
2020,"durham","drhm-08",8,5
2021,"durham","drhm-08",8,28
2022,"durham","drhm-08",8,16
2023,"durham","drhm-08",8,22
